Date	Name	Tags	URL	Repository URL	Article URL	Presentation URL	Select	Deprecated
2022/07	Obfuscate texts	Chrome Extension	https://chrome.google.com/webstore/detail/obfuscate-texts/iappfbaenmkmgdiodpemhhndfjbigago	https://github.com/motemen/webextension-obfuscate-texts	https://motemen.hatenablog.com/entry/2022/07/extension-obfuscate-texts		FALSE	FALSE
2022/07	gcal-tui	Go,Google Calendar,TUI		https://github.com/motemen/gcal-tui	https://motemen.hatenablog.com/entry/2022/07/gcal-tui		FALSE	FALSE
2022/06	vnodroid	VRM,Web	https://motemen.github.io/vnodroid/	https://github.com/motemen/vnodroid	https://motemen.hatenablog.com/entry/2022/06/vnodroid		FALSE	FALSE
2022/05	letterknife	Go,CLI,MIME		https://github.com/motemen/letterknife	https://motemen.hatenablog.com/entry/2022/05/letterknife		TRUE	FALSE
2022/04	sbx	Go,CLI,Scrapbox		https://github.com/motemen/sbx	https://motemen.hatenablog.com/entry/2022/04/sbx		FALSE	FALSE
2022/03	chrome-extension-esbuild	Chrome Extension,DevTools		https://github.com/motemen/chrome-extension-esbuild	https://motemen.hatenablog.com/entry/2022/03/chrome-extension-esbuild		FALSE	FALSE
2022/02	ウェブ薄氷	Web,React,Cloudflare Workers	https://usurai.motemen.workers.dev/		https://motemen.hatenablog.com/entry/2022/02/webusurai		TRUE	FALSE
2022/02	漢字ル	Web,React,KanjiVG	https://motemen.github.io/kanjile/		https://motemen.hatenablog.com/entry/2022/02/kanjile		FALSE	FALSE
2021/04	go-switchgen	Go,CLI		https://github.com/motemen/go-switchgen	https://motemen.hatenablog.com/entry/2021/04/go-switchgen		FALSE	FALSE
2020/12	macos-BluetoothAudioDistancer	macOS		https://github.com/motemen/macos-BluetoothAudioDistancer	https://motemen.hatenablog.com/entry/2020/12/macos-bluetoothaudioidistancer		FALSE	FALSE
2020/11	Google Meet Mute Toggler	Chrome Extension	https://chrome.google.com/webstore/detail/google-meet-mute-toggler/ojdhpiapiiphnknbbgddcfnlagfgpjnp		https://motemen.hatenablog.com/entry/2020/11/google-meet-mute-toggler		FALSE	FALSE
2020/05	docker-datastore-emulator	Docker		https://github.com/motemen/docker-datastore-emulator			FALSE	FALSE
2019/12	TextCast	Electron		https://github.com/motemen/TextCast	https://motemen.hatenablog.com/entry/2019/12/textcast		FALSE	FALSE
2019/12	漢字スライダー	Web,Vue	https://motemen.github.io/kanji-slider/		https://motemen.hatenablog.com/entry/2019/12/kanji-slider		TRUE	FALSE
2019/11	slack-stream-json	Rust,CLI,Slack		https://github.com/motemen/slack-stream-json	https://motemen.hatenablog.com/entry/2019/11/slack-stream-json		FALSE	FALSE
2019/03	go-cxtize	Go,CLI		https://github.com/motemen/go-ctxize	https://motemen.hatenablog.com/entry/2019/03/go-ctxize		FALSE	FALSE
2019/02	めかぬか	Web,KanjiVG	https://motemen.github.io/mekanuka/		https://motemen.hatenablog.com/entry/2019/02/mekanuka		FALSE	FALSE
2019/01	git-shared-submodule-update	Git		https://github.com/motemen/git-shared-submodule-update	https://motemen.hatenablog.com/entry/2019/01/git-shared-submodule-update		FALSE	FALSE
2018/08	fuTimer	Speedcubing,Web,React	https://motemen.github.io/futimer/		https://motemen.hatenablog.com/entry/2018/08/speedcubing-timer		FALSE	FALSE
